1001,4455667780,zhangsan0,001,北京海淀区西二旗,国际软件大厦,13501312546,13501312546,10000,10,15,,,
1002,4455667781,zhangsan0,001,北京海淀区西二旗,国际软件大厦,13501312546,13501312546,10001,20,15,,,
1003,4455667782,zhangsan0,001,北京海淀区西二旗,国际软件大厦,13501312546,13501312546,10002,10,15,,,
1004,4455667783,zhangsan1,002,北京昌平区西三旗,金燕龙办公楼,13683695726,13683695726,10003,20,10,,,
1005,4455667784,zhangsan1,002,北京昌平区西三旗,金燕龙办公楼,13683695726,13683695726,10004,10,10,,,
1006,4455667785,zhangsan2,003,北京昌平区西三旗,金燕龙办公楼,13623546458,13623546458,10005,20,12,,,
1007,4455667786,zhangsan2,004,北京昌平区西三旗,育新小区,13623546458,13623546458,10006,20,12,,,
1008,4455667787,zhangsan3,066,上海浦东陆家嘴,静安别墅,13623546455,13623546455,10009,100,20,,,
1009,4455667788,zhangsan3,066,上海浦东陆家嘴,静安别墅,13623546455,13623546455,10010,10,15,,,
1010,4455667789,zhangsan3,066,上海浦东陆家嘴,静安别墅,13623546455,13623546455,10011,100,12,,,
1011,4455667790,zhangsan4,088,上海虹口江湾镇,四季沙龙公寓,18546455677,18546455677,10050,50,15,,,
1012,4455667791,zhangsan4,089,上海虹口鲁迅公园,晶钻博华小区,18546455677,18546455677,10051,60,12,,,
1013,4455667792,zhangsan4,090,上海虹口鲁迅公园,晶钻博华小区,18546455677,18546455677,10052,50,12,,,
1014,4455667793,zhangsan5,091,湖北武汉市武昌区,张家湾,13501312555,13501312555,10053,50,10,,,
1015,4455667794,zhangsan5,092,湖北武汉市武昌区,张家湾,13501312555,13501312555,10054,100,10,,,
1016,4455667795,zhangsan5,093,湖北武汉市武昌区,张家湾,13501312555,13501312555,10054,20,10,,,
1017,4455667796,zhangsan6,094,湖北武汉市武昌区,万达时代中心,1355641556,1355641556,10055,50,10,,,
1018,4455667797,zhangsan6,095,湖北武汉市武昌区,万达时代中心,1355641556,1355641556,10056,100,10,,,
1019,4455667798,zhangsan7,096,湖北武汉市武昌区,保利中央公馆,13546627455,13546627455,10057,50,10,,,
1020,4455667799,zhangsan7,097,湖北武汉市武昌区,保利中央公馆,13546627455,13546627455,10058,50,10,,,
1021,4455667890,zhangsan8,098,湖北武汉市汉口,新城小区,13501312548,13501312548,10059,100,10,,,
1022,4455667891,zhangsan8,099,湖北武汉市汉口,新城小区,13501312548,13501312548,10060,20,10,,,
